Training Provider Name,Address,Telephone No.,Email,Website Link,Industry
AMTALENT PARTNERS,,60129168279,asha.amtalentpartners@gmail.com,No Corporate Domain Detected (Gmail),HR & Talent Consultancy
INTER-CULTURAL LANGUAGE SCHOOL (M) SDN BHD,,+60122036400,hr@icls.com.my,,
MALAYSIAN INTERNATIONAL CHAMBER OF COMMERCE AND INDUSTRY,,60362017708,vishal@micci.com,,
NATIONAL ASSOCIATION OF WOMEN ENTREPRENEURS OF MALAYSIA (NAWEM),,+60162853202,secretariat.nawem@gmail.com,,
THE MALAYSIAN INSTITUTE OF CHARTERED SECRETARIES AND ADMINISTRATORS (MAICSA),,60322829276,training@maicsa.org.my,,
TERTIARY INFOTECH SDN. BHD.,,+603 7931 9658,saeid@tertiarycourses.com.my,,
THE INSTITUTE OF TAXATION SDN BHD,,26102888,lynda@rsmmalaysia.my,,
GREAT SUCCESS CONSULTANCY SDN BHD,,60192168618,pbs115708@yahoo.com,No Corporate Domain Detected (Yahoo),Business Consultancy
RMG VENTURES SDN. BHD.,,60178793312,rasamalar_g@hotmail.com,,
BIG BERRY CONSULTING SDN BHD,,60123838079,lozyita@bigberryconsulting.com,http://www.bigberryconsulting.com,Strategic Consultancy
MY FLEX HEALTH GROUP SDN. BHD.,,60376102098,admin@myflexhealth.com,,
MALAYSIAN FINANCIAL PLANNING COUNCIL,,60362035899,mfpc@mfpc.org.my,,
LION REPUTATION MARKETING COACH,,60122829156,james.pereira@lionreputationmarketing.com,,
EMX CONSULTING,,60193303028,roslan.jafri@emxconsulting.net,No Corporate Domain Detected (Net),Business Consultancy
CYPHER GLOBAL MANAGEMENT SERVICES,,60162708545,kevinmurthy1@gmail.com,No Corporate Domain Detected (Gmail),Management Consultancy
CRYSTAL SITE SDN. BHD.,,60192822844,starstudioimage@gmail.com,,
NOAHTECH COMPUTER REPAIRING AND SERVICES,,60126682334,jestineycs@yahoo.com,,
KL STRATEGIC CHANGE CONSULTING,,60123903168,victorsltan@klscc.com,http://www.klscc.com,Change Management
PERFECT TOURISM AND MANAGEMENT CENTRE SDN. BHD.,,60123644505,trainingptmc@yahoo.com,,
MAYANG ACADEMY FOR PROFESSIONAL STUDIES SDN. BHD.,,60183158925,mayang.courses@gmail.com,,
AQALIVISTA CONSULTING & SERVICES SDN BHD,,60321103012,training@aqalivista.com,http://www.aqalivista.com,Corporate Consultancy
DYNAMIC TEAM HOLDINGS SDN BHD,,60166601890,cecilia@dynamicteam.com.my,,
TIMES SOFTWARE SDN BHD,,60393880090,soolee.teo@timesoft.com.my,,
QKM CONSULTS SDN. BHD.,,60122617346,info@qkmconsult.com,No Corporate Domain Detected,Management Consultancy
PM RESOURCES SDN. BHD.,,60389663677,training@pm-resources.com,http://www.pm-resources.com,HR Consultancy
CULTURISTIC SDN BHD,,60351618111,sharon.tong@culturistic.com.my,,
QUANTUM FOOD ACADEMY SDN BHD,,60122037882,kristin.chin@quantumfood.com.my,,
INSTITUTE OF APPROVED COMPANY SECRETARIES,,60340513787,iacsc19@yahoo.com,,
